entidad,subsector,UE_sin_ventas,UE_con_ventas
14,332,5148,206
14,333,327,64
14,334,75,22
14,335,99,27
14,336,155,39
14,337,2586,150
14,339,1130,85
14,431,2149,278
14,432,603,90
14,433,711,134
14,434,6732,613
14,435,1897,449
14,436,245,63
14,437,15,4
14,461,63433,293
14,462,3127,309
14,463,22107,740
14,464,6639,290
14,465,20581,553
14,466,10335,486
14,467,9374,351
14,468,6262,686
14,469,14,6
14,481,4,0
14,483,37,2
14,484,305,116
14,485,150,11
14,486,1,0
14,487,122,11
14,488,395,72
14,491,1,0
14,492,56,14
14,493,121,23
14,511,74,22
14,512,47,55
14,515,57,10
14,517,218,21
14,518,7,4
14,519,25,2
14,522,1231,157
14,523,229,7
14,524,289,56
14,531,3382,230
14,532,1242,151
14,533,1,1
14,541,6669,864
14,551,18,3
14,561,4210,556
14,562,65,12
14,611,3332,434
14,621,11594,486
14,622,209,26
14,623,264,5
14,624,1414,27
14,711,260,20
14,712,52,1
14,713,3449,87
14,721,1411,310
14,722,41898,833
14,811,25461,476
14,812,22475,347
14,813,1392,59
15,112,227,0
15,114,48,0
15,115,34,2
15,212,106,7
15,213,1,0
15,221,168,14
15,236,255,49
15,237,130,25
15,238,726,41
15,311,26963,107
15,312,4503,23
15,313,273,26
15,314,845,24
15,315,4077,61
15,316,561,15
15,321,3092,22
15,322,457,45
15,323,1962,151
15,324,37,6
15,325,747,107
15,326,870,108
15,327,2533,59
15,331,176,38
15,332,7823,185
15,333,274,62
15,334,41,17
15,335,142,25
15,336,288,32
15,337,3073,62
15,339,1856,72
15,431,1710,373
15,432,682,51
15,433,668,85
15,434,11284,422
15,435,1944,298
15,436,265,38
15,437,16,3
15,461,156717,263
15,462,3897,348
15,463,32363,466
15,464,15429,354
15,465,50438,463
15,466,17047,350
15,467,25611,338
15,468,10367,492
15,469,37,1
15,481,13,4
15,483,6,0
15,484,540,131
15,485,219,16
15,486,1,0
15,487,21,6
15,488,342,30
15,491,1,0
15,492,46,11
15,493,48,8
15,511,84,14
15,512,44,113
15,515,45,4
15,517,386,19
15,518,6,4
15,519,32,1
15,522,1260,143
15,523,35,2
15,524,213,19
15,531,3733,140
15,532,2728,79
15,541,9039,469
15,551,18,1
15,561,11118,521
15,562,82,9
15,611,7428,423
15,621,17566,372
15,622,237,17
15,623,145,3
15,624,2540,17
15,711,484,10
15,712,20,2
15,713,6362,86
15,721,1037,136
15,722,69191,705
15,811,47071,394
15,812,39869,225
15,813,1807,27
16,112,342,0
16,114,420,0
16,115,75,5
16,212,118,6
16,213,4,0
16,221,147,8
16,236,176,28
16,237,121,20
16,238,194,21
16,311,11024,65
16,312,593,14
16,313,276,0
16,314,2678,17
16,315,1752,34
16,316,1049,26
16,321,3823,17
16,322,120,6
16,323,550,58
16,324,1,0
16,325,152,19
16,326,110,16
16,327,5518,19
16,331,31,1
16,332,3640,34
16,333,61,4
16,334,5,0
16,335,15,3
16,336,48,3
16,337,3335,31
16,339,2432,28
16,431,1163,125
16,432,127,10
16,433,207,13
16,434,4330,216
16,435,666,87
16,436,72,12
16,437,4,0
16,461,46234,125
16,462,1804,52
16,463,15625,263
16,464,4320,144
16,465,11898,187
16,466,6941,217
16,467,5608,153
16,468,3658,223
16,469,21,0
16,481,1,0
16,483,2,0
16,484,165,28
16,485,166,7
16,486,1,0
16,487,12,4
16,488,192,37
16,491,1,0
16,492,20,7
16,493,41,3
16,511,34,8
16,512,16,22
16,515,73,5
16,517,158,13
16,518,1,2
16,519,26,2
16,522,628,87
16,523,137,2
16,524,117,10
16,531,2021,32
16,532,1103,36
16,533,2,0
16,541,4062,235
16,551,2,0
16,561,2657,220
16,562,17,0
16,611,1832,147
16,621,9016,206
16,622,127,6
16,623,131,3
16,624,1099,9
16,711,235,7
16,712,14,0
16,713,2785,30
16,721,836,119
16,722,28290,205
16,811,16488,172
16,812,11725,152
16,813,1103,16
17,112,287,1
17,114,26,0
17,115,8,0
17,212,22,0
17,221,133,7
17,236,66,13
17,237,27,4
17,238,87,9
17,311,5096,29
17,312,438,6
17,313,21,2
17,314,151,7
17,315,539,12
17,316,103,7
17,321,502,1
17,322,38,2
17,323,222,25
17,325,102,13
17,326,65,6
17,327,500,16
17,331,4,1
17,332,1415,21
17,333,23,7
17,334,3,0
17,335,15,2
17,336,24,2
17,337,356,8
17,339,180,12
17,431,408,32
17,432,47,2
17,433,120,3
17,434,1730,66
17,435,242,39
17,436,33,3
17,461,21366,28
17,462,734,33
17,463,4637,70
17,464,1593,70
17,465,7028,76
17,466,4135,91
17,467,2545,49
17,468,1457,89
17,469,7,1
17,483,3,0
17,484,53,8
17,485,107,3
17,487,9,1
17,488,44,3
17,491,1,0
17,492,7,1
17,493,5,2
17,511,17,2
17,512,11,16
17,515,24,3
17,517,68,8
17,519,8,1
17,522,225,54
17,523,22,1
17,524,107,7
17,531,718,34
17,532,380,8
17,533,2,0
17,541,1665,107
17,561,1273,73
17,562,9,1
17,611,1170,81
17,621,2970,71
17,622,47,4
17,623,62,1
17,624,600,8
17,711,72,2
17,712,16,0
17,713,963,18
17,721,560,83
17,722,13580,142
17,811,6936,82
17,812,5923,73
17,813,492,14
18,112,260,2
18,114,1029,1
18,115,28,2
18,212,27,2
18,221,31,7
18,236,146,7
18,237,65,4
18,238,63,9
18,311,2031,49
18,312,329,4
18,313,17,0
18,314,55,6
18,315,307,13
18,316,77,2
18,321,420,9
18,322,98,4
18,323,148,34
18,324,1,0
18,325,23,5
18,326,12,0
18,327,323,9
18,331,1,0
18,332,777,18
18,333,8,0
18,336,12,0
18,337,285,11
18,339,334,13
18,431,281,38
18,432,13,2
18,433,45,5
18,434,707,61
18,435,148,25
18,436,28,5
18,461,9097,37
18,462,1685,15
18,463,2752,108
18,464,865,25
18,465,2731,58
18,466,1617,67
18,467,1046,77
18,468,1015,78
18,469,10,0
18,483,18,0
18,484,27,9
18,485,63,8
18,487,17,5
18,488,43,1
18,491,1,0
18,492,6,1
18,493,12,0
18,511,10,1
18,512,10,8
18,515,8,3
18,517,38,0
18,519,7,1
18,522,219,55
18,523,20,0
18,524,41,6
18,531,664,48
18,532,263,33
18,541,980,86
18,551,1,1
18,561,621,54
18,562,4,1
18,611,480,50
18,621,1808,97
18,622,20,2
18,623,53,2
18,624,394,5
18,711,85,1
18,712,9,3
18,713,535,14
18,721,633,131
18,722,10678,103
18,811,4481,83
18,812,3550,79
18,813,555,18
19,112,16,0
19,114,2,0
19,115,18,4
19,212,31,7
19,213,4,0
19,221,14,1
19,236,292,207
19,237,115,77
19,238,400,97
19,311,3418,140
19,312,134,14
19,313,20,1
19,314,139,30
19,315,543,49
19,316,64,10
19,321,730,46
19,322,284,65
19,323,801,175
19,324,30,12
19,325,335,68
19,326,400,107
19,327,424,55
19,331,189,57
19,332,2965,362
19,333,290,105
19,334,50,17
19,335,112,42
19,336,209,68
19,337,939,109
19,339,335,58
19,431,981,217
19,432,119,32
19,433,289,78
19,434,3302,562
19,435,1317,470
19,436,174,63
19,437,14,2
19,461,25168,354
19,462,3598,834
19,463,4633,237
19,464,2485,204
19,465,6774,391
19,466,4194,398
19,467,3706,285
19,468,3388,538
19,469,5,1
19,481,6,4
19,484,464,280
19,485,116,29
19,486,2,0
19,487,10,3
19,488,274,61
19,491,1,0
19,492,40,19
19,493,38,9
19,511,52,21
19,512,39,66
19,515,18,5
19,517,98,18
19,518,11,10
19,519,10,3
19,522,911,189
19,523,153,10
19,524,263,49
19,531,1706,212
19,532,1026,157
19,533,1,2
19,541,3899,769
19,551,65,7
19,561,2312,457
19,562,75,18
19,611,2093,328
19,621,5833,725
19,622,189,26
19,623,129,14
19,624,532,18
19,711,110,30
19,712,26,1
19,713,1432,82
19,721,328,73
19,722,18906,690
19,811,13486,511
19,812,10914,305
19,813,555,25
20,112,164,1
20,114,3552,1
20,115,24,2
20,212,14,4
20,221,612,2
20,236,204,24
20,237,191,30
20,238,96,7
20,311,21450,43
20,312,1309,19
20,313,5480,5
20,314,8343,27
20,315,3892,29
20,316,346,4
20,321,2498,18
20,322,266,5
20,323,422,44
20,324,5,0
20,325,156,3
20,326,49,5
20,327,1820,15
20,331,1,1
20,332,3165,16
20,333,15,0
20,334,1,0
20,335,4,1
20,336,46,0
20,337,1582,7
20,339,917,14
20,431,728,77
20,432,94,10
20,433,127,8
20,434,2583,107
20,435,442,72
20,436,45,5
20,437,1,0
20,461,50508,72
20,462,1523,53
20,463,10312,94
20,464,2752,72
20,465,10505,118
20,466,4225,116
20,467,3577,202
20,468,2761,116
20,469,13,0
20,483,16,0
20,484,113,8
20,485,377,10
20,487,90,9
20,488,89,5
20,491,1,0
20,492,47,5
20,493,3,0
20,511,29,3
20,512,17,9
20,515,117,8
20,517,152,9
20,518,3,1
20,519,23,5
20,522,652,142
20,523,16,2
20,524,82,10
20,531,693,32
20,532,807,22
20,541,2666,175
20,551,1,0
20,561,2905,125
20,562,12,0
20,611,1132,60
20,621,5005,105
20,622,58,6
20,623,48,2
20,624,1097,3
20,711,318,8
20,712,44,0
20,713,1122,15
20,721,1486,235
20,722,30441,139
20,811,11052,92
20,812,7611,49
20,813,1274,12
21,112,180,2
21,114,83,0
21,115,50,0
21,212,716,14
21,213,2,0
21,221,286,9
21,236,320,44
21,237,157,44
21,238,253,33
21,311,17885,73
21,312,1381,8
21,313,3197,33
21,314,1620,14
21,315,5438,74
21,316,464,7
21,321,2944,15
21,322,401,16
21,323,880,74
21,324,9,3
21,325,246,21
21,326,183,26
21,327,6228,42
21,331,46,11
21,332,4618,83
21,333,145,20
21,334,16,3
21,335,39,2
21,336,242,34
21,337,1548,29
21,339,1941,32
21,431,1153,117
21,432,214,20
21,433,259,34
21,434,5330,211
21,435,1063,187
21,436,89,29
21,437,8,0
21,461,70742,98
21,462,2298,62
21,463,14416,216
21,464,5052,162
21,465,18820,199
